10156296084996977_10156297612411977,"Sa mga nagsasabi na binayaran ang mga kawani ng Supreme Court at ang mga hukom sa mababang hukuman (Regional Trial Court, Metropolitan Trial Court at Municipal Circuit Trial Court), huwag niyo ng maliitin ang kanilang pagkatao dahil tulad ninyo AY MERON DIN SILANG SARILING PANININDIGAN!

Mas marami silang nalalaman sa pagkatao ni CJ Sereno dahil kasama nila ito sa trabaho at hindi tulad ng karamihan sa inyo na umaasa lang sa “balita” o kung ano mang sabi-sabi na naririnig kung saan-saan.

Sana kausapin ninyo at tanungin mismo ang mga kawani ng hudikatura para malaman ninyo kung bakit sila nanindigan na pagbitiwin si CJ Sereno."
10156296084996977_10156297667831977,CJ Sereno sinusuka kana ng mga kasamahan mo paano kana nyan mamumuno kung mismong mga kasamahan mo sinisipa kana para umalis ka na dyan sa puwesto tablan ka naman sana ng HIYA 😈😈😈
10156296084996977_10156297676316977,"KAHIT NAMAN HAMPASIN MO SA MUKHA NG MAKAHIYA SI SERENO HINDI NA YAN TATALAB KASI NGA MAY SAYAD SIYA SIGURO SA UTAK.
UTAK WANG-WANG."
10156296084996977_10156297977706977,"Mga sipsip yan sa admitrasyon,kasi Hindi nila matanggap tanggap si CJ sereno ang maging CJ.
Hangad nmin ang tagumpay ng CJ ng pilipinas,
God bles CJ sereno.
Naway patnubayan ka ng diyos."
10156296084996977_10156298041321977,Haaaaaahhhh?? mga kawani ng supreme court pong reresign ni CJ SERENO abay kw nlang ano k hilo bhahala kna s buhay mo?
10156296084996977_10156298095551977,Kapal mukha most majority dont liked her ( Sereno Go leave ur place )
10156296084996977_10156298113356977,We support CJ Sereno !! Kayo dyan Ang lumayas sayang Ang pinapasahod namin sainyo mga dimonyo kayo !!👿👿👿
10156296084996977_10156298553171977,Ganya talaga pag Karma....mahiya ka naman Sereno pumayas kana jan.....Hindi ka nabanagay jan kasi LP ang naglagay sayo jan ang mga LP ay wala ng puwang sa Pilipinas.....
10156296084996977_10156298671881977,Bhing Sangcopan baka ikaw naka-shabu!! makabanggit ka ng mga issue regarding kay Sereno parang walang issue yang poon nu sa DDSS..mas marami syang issue kesa kay Sereno at malala pa..kaya kung ganyan lang din mag-resign na rin poon nyo... magbasa ka oii at wag kang addict...mas matino pa ko sau eh noh!
10156296084996977_10156298710516977,Fight for what is right CJ Sereno. wag matakot sa mga may sayad.
10156296084996977_10156298914211977,Alam mo mr Federico Nevalasca lahat yan magkakaiba napupulitika lng yan dahil gusto lng talaga nilang maalis sa pwesto si cj kaya lahat ng pwedeng ikaso ikakaso nila dahil alam nila n baka manalo si cj sa impeachment at alam nila palaban un ale at kung resign sya parang inamin nya n ring totoo un binibintang sa kanya kaya mas magandang mkita at marinig natin un laban ng ale ....para ano p pagiging atty. nya at cj p kung d nya ippagttangol sarili nya ....iba si corona at iba si sereno nagkapareho lng silang cj at n impeach pero si sereno mraming kasong nahawakan at naipanalo si corona b meron?wait n lng tayo sa impeachment ...just saying peace....
10156296084996977_10156301476786977,Do not resign Sereno! Dapat mag resign yung mga yan
10156296124541977_10156297531121977,"Nako bakit si duterte sinisisi nyo eh kaya may tatlong sangay ang gobyerno unang sangay korte suprema, sunod senado, ikatlo ang pangulo.......cnu ba umabswelto d ba yung korte suprema hawak ba ni digong yun? D ba galit nga sya kay sereno...... Nako namn dagdagan nyo naman po sana kaalaman nyo bago kayo dumakdak kelan pa naging iisa ang korte suprema sa pangulo magkaiba yun........ May google jan research muna kayo"
10156296124541977_157365844975214,KAPAG SI SERENO ....BABRASUHIN...KAPAG nakapag deal ka sa admininstration lalo na against lay De Lima ABSWELTO KAGAD......
